Frame Number,X Center,Y Center,Width,Height
616,989,220,60,60
621,922,246,60,60
622,899,266,60,60
623,887,278,60,60
624,915,307,60,60
626,911,328,60,60
628,893,392,60,60
629,895,440,60,60
630,868,434,76,76
631,884,469,60,60
632,873,379,60,60
633,870,351,60,60
634,429,394,60,60
639,854,246,60,60
640,841,233,60,60
641,835,230,60,60
642,833,226,60,60
643,832,227,60,60
644,831,229,60,60
645,817,227,60,60
646,821,232,68,68
648,288,426,68,68
651,298,426,60,60
652,786,321,60,60
653,785,346,60,60
654,277,435,60,60
655,276,439,60,60
657,787,464,60,60
658,257,453,60,60
659,778,481,60,60
660,243,457,60,60
661,237,457,60,60
662,234,457,60,60
663,232,457,60,60
664,228,458,60,60
665,827,281,60,60
666,220,454,60,60
667,216,452,60,60
668,213,452,70,70
669,850,189,60,60
670,840,164,76,76
671,832,145,60,60
672,138,450,94,94
673,856,132,60,60
674,169,442,60,60
675,120,446,96,96
676,853,115,74,74
677,141,441,72,72
678,90,442,98,98
679,76,440,98,98
680,114,433,60,60
681,103,434,60,60
683,711,133,58,58
684,882,206,60,60
685,733,79,60,60
686,701,141,60,60
687,889,284,60,60
688,876,314,60,60
689,883,350,60,60
690,894,396,60,60
691,693,100,60,60
692,898,447,60,60
693,704,45,60,60
694,895,433,60,60
695,893,425,60,60
696,886,406,60,60
697,874,391,60,60
698,604,161,58,58
699,860,402,78,78
700,858,371,60,60
701,836,373,60,60
702,559,120,68,68
703,547,100,54,54
704,805,363,60,60
705,817,361,60,60
706,815,381,60,60
707,815,401,60,60
708,803,406,60,60
709,802,427,60,60
710,475,67,60,60
711,800,457,60,60
712,777,409,60,60
713,450,50,60,60
714,783,345,60,60
715,417,108,60,60
716,452,45,60,60
717,800,318,68,68
718,795,287,60,60
719,816,279,60,60
720,429,112,60,60
721,439,108,60,60
722,446,104,60,60
723,691,542,56,56
724,874,273,60,60
725,874,294,66,66
726,469,94,52,52
727,472,92,60,60
728,476,91,60,60
729,479,89,60,60
730,473,88,60,60
731,469,88,60,60
732,914,273,60,60
733,463,85,60,60
734,461,84,60,60
735,908,199,60,60
736,903,167,60,60
737,895,140,60,60
738,443,81,60,60
739,443,76,60,60
741,907,58,60,60
742,924,42,60,60
746,511,59,60,60
747,514,56,60,60
748,522,56,60,60
749,532,57,60,60
750,536,60,60,60
751,536,60,60,60
752,535,60,60,60
753,533,61,54,54
754,531,60,60,60
755,929,139,60,60
756,526,61,60,60
757,526,60,60,60
758,525,62,60,60
759,910,245,60,60
760,890,246,86,86
761,907,223,60,60
762,516,65,60,60
763,907,194,60,60
764,902,180,60,60
765,906,171,60,60
766,901,164,60,60
767,491,66,74,74
768,487,68,60,60
769,495,45,60,60
770,480,73,60,60
771,490,48,60,60
772,487,49,60,60
773,484,51,60,60
774,482,52,70,70
775,480,53,60,60
776,479,53,60,60
777,488,38,60,60
778,487,54,56,56
779,488,54,68,68
780,902,352,60,60
781,489,53,60,60
782,510,37,60,60
783,505,49,60,60
784,931,444,60,60
785,935,410,60,60
786,504,46,60,60
787,503,42,60,60
788,501,43,60,60
789,500,42,60,60
790,482,74,60,60
791,946,261,60,60
792,945,251,60,60
793,469,75,60,60
794,941,242,60,60
795,455,76,60,60
796,440,82,60,60
797,426,89,60,60
798,912,278,96,96
799,891,251,60,60
800,883,268,60,60
801,884,276,60,60
802,363,117,60,60
803,879,305,60,60
804,378,56,60,60
805,371,55,60,60
806,368,53,60,60
807,362,55,60,60
808,865,399,60,60
809,864,434,60,60
810,348,54,60,60
811,874,494,60,60
812,312,112,60,60
813,308,112,60,60
814,305,111,60,60
815,816,373,60,60
816,298,113,60,60
817,297,113,60,60
818,324,54,60,60
819,804,360,60,60
820,799,359,60,60
821,792,359,60,60
822,784,362,60,60
823,333,43,60,60
824,332,51,60,60
825,338,45,60,60
826,340,47,60,60
827,338,47,60,60
828,334,56,60,60
829,333,56,60,60
830,333,58,60,60
831,337,52,60,60
832,336,58,60,60
833,340,58,60,60
834,341,59,60,60
835,344,54,70,70
836,343,54,60,60
837,339,58,60,60
838,338,55,60,60
839,336,54,60,60
840,331,61,60,60
841,331,59,60,60
842,330,62,60,60
843,335,56,60,60
844,338,55,60,60
845,340,57,60,60
846,339,64,60,60
847,341,63,60,60
848,343,62,60,60
849,345,58,60,60
850,345,58,60,60
851,344,58,60,60
852,341,65,60,60
853,342,64,60,60
854,342,65,60,60
855,346,60,60,60
856,348,60,60,60
857,347,66,60,60
858,343,79,60,60
859,344,83,60,60
860,351,79,60,60
861,356,91,60,60
862,363,83,60,60
863,366,83,60,60
864,368,87,60,60
865,371,86,60,60
866,375,83,60,60
867,374,90,60,60
868,380,84,60,60
869,383,86,60,60
870,388,87,60,60
871,390,92,60,60
872,395,90,60,60
873,402,83,60,60
874,405,85,60,60
875,435,72,68,68
